iter	RMSE
0	11583.1107
1	11141.42145
2	10744.27646
3	10356.51859
4	10033.95376
5	9711.075118
6	9402.502999
7	9118.414787
8	8884.882374
9	8586.803969
10	8323.612726
11	8096.365779
12	7877.294349
13	7645.733551
14	7424.793369
15	7214.30139
16	7033.604024
17	6855.02966
18	6679.506237
19	6527.923761
20	6384.562054
21	6232.277381
22	6096.417984
23	5982.431192
24	5859.73277
25	5741.201068
26	5634.010585
27	5535.915383
28	5442.880053
29	5363.455082
30	5287.836308
31	5211.327805
32	5138.924863
33	5080.003032
34	5017.75416
35	4963.832868
36	4907.481765
37	4857.770364
38	4807.287008
39	4762.279986
40	4714.227366
41	4672.573229
42	4631.063253
43	4594.274596
44	4562.975843
45	4533.823413
46	4505.618071
47	4474.667586
48	4458.1926
49	4434.483271
50	4407.627901
51	4385.528381
52	4363.285166
53	4341.548983
54	4322.232395
55	4302.912224
56	4295.635656
57	4281.256758
58	4262.665098
59	4246.829686
60	4231.25389
61	4218.027885
62	4206.717124
63	4194.031562
64	4181.98675
65	4169.135456
66	4158.400765
67	4148.78051
68	4140.262462
69	4131.340343
70	4123.805667
71	4115.763111
72	4108.648413
73	4102.786875
74	4095.490567
75	4085.264024
76	4081.460937
77	4076.875259
78	4068.376644
79	4064.871667
80	4056.643356
81	4050.79965
82	4045.720159
83	4039.088033
84	4035.1367
85	4031.796038
86	4029.637839
87	4024.995586
88	4014.350481
89	4009.200782
90	4001.736383
91	3993.556022
92	3988.511956
93	3981.739207
94	3978.690662
95	3974.683146
96	3967.95895
97	3959.006793
98	3957.81057
99	3954.539996
