iter	Passed	Remaining
0	3	377
1	5	278
2	8	288
3	12	298
4	14	266
5	17	272
6	20	268
7	23	266
8	24	246
9	26	235
10	27	225
11	31	230
12	34	232
13	37	231
14	40	229
15	42	224
16	44	218
17	47	216
18	50	216
19	53	213
20	55	208
21	59	209
22	61	205
23	63	200
24	65	195
25	67	193
26	69	188
27	71	184
28	74	181
29	77	180
30	79	176
31	81	173
32	84	171
33	86	167
34	88	164
35	90	161
36	92	157
37	94	154
38	96	151
39	98	148
40	101	146
41	104	143
42	106	141
43	109	139
44	111	136
45	113	133
46	115	130
47	118	128
48	119	124
49	121	121
50	125	120
51	128	118
52	130	115
53	132	112
54	134	110
55	137	107
56	138	104
57	140	101
58	142	99
59	144	96
60	147	94
61	149	91
62	151	89
63	154	86
64	157	84
65	159	82
66	161	79
67	163	77
68	165	74
69	168	72
70	170	69
71	172	67
72	174	64
73	176	62
74	178	59
75	181	57
76	182	54
77	185	52
78	187	49
79	189	47
80	191	44
81	193	42
82	195	40
83	197	37
84	200	35
85	202	33
86	204	30
87	207	28
88	209	25
89	211	23
90	213	21
91	215	18
92	217	16
93	220	14
94	222	11
95	224	9
96	226	7
97	229	4
98	230	2
99	233	0
