iter	RMSE
0	12030.16902
1	11648.4723
2	11300.24201
3	10947.878
4	10641.84439
5	10338.08021
6	10031.43117
7	9746.606556
8	9489.491625
9	9240.465299
10	8991.583886
11	8766.979059
12	8554.0316
13	8370.95153
14	8175.124613
15	7978.552251
16	7800.083148
17	7630.013766
18	7477.345611
19	7316.256874
20	7164.742712
21	7047.948623
22	6914.186856
23	6810.454779
24	6677.37208
25	6545.334788
26	6421.610963
27	6316.216034
28	6207.322175
29	6106.849795
30	6001.970263
31	5919.62577
32	5833.575847
33	5759.226728
34	5684.887349
35	5612.759051
36	5541.601934
37	5468.205633
38	5400.783965
39	5340.651426
40	5294.669555
41	5245.009918
42	5201.036225
43	5148.715794
44	5100.248403
45	5062.798698
46	5024.822211
47	4981.500851
48	4947.861972
49	4910.734169
50	4877.93424
51	4847.424025
52	4829.927803
53	4805.016494
54	4773.998546
55	4753.987577
56	4728.679828
57	4703.891414
58	4677.980801
59	4661.441086
60	4642.54739
61	4622.98978
62	4603.848673
63	4585.970255
64	4569.355516
65	4549.090561
66	4536.2981
67	4526.487294
68	4511.79759
69	4498.886509
70	4485.191056
71	4472.047476
72	4459.321341
73	4449.835581
74	4438.897451
75	4433.04305
76	4428.385067
77	4417.575031
78	4407.853047
79	4399.916475
80	4389.976864
81	4382.898775
82	4374.135092
83	4366.705341
84	4361.219632
85	4355.220181
86	4346.820207
87	4340.345291
88	4333.747296
89	4328.496184
90	4320.569279
91	4313.989171
92	4308.401611
93	4301.903659
94	4298.667643
95	4292.48714
96	4287.540077
97	4283.708683
98	4276.982345
99	4273.206381
100	4272.054548
101	4266.54088
102	4262.999031
103	4256.688547
104	4254.386232
105	4248.076544
106	4244.578608
107	4238.857509
108	4235.455079
109	4232.038948
110	4229.881327
111	4225.248196
112	4219.219719
113	4216.693211
114	4213.197108
115	4208.777844
116	4207.105778
117	4201.619326
118	4200.642043
119	4196.857049
120	4191.106781
121	4187.004662
122	4181.460428
123	4178.449317
124	4173.924542
125	4168.923533
126	4164.920647
127	4164.089638
128	4158.959935
129	4155.139372
130	4151.222358
131	4148.110645
132	4145.970987
133	4143.538575
134	4138.561579
135	4136.828872
136	4132.995706
137	4127.161596
138	4124.346797
139	4118.986785
140	4117.190254
141	4115.205319
142	4114.146984
143	4112.107968
144	4107.763397
145	4104.481974
146	4103.033843
147	4101.582293
148	4097.032276
149	4092.215732
150	4089.492122
151	4082.203491
152	4078.302469
153	4076.598862
154	4074.127819
155	4070.729372
156	4067.005823
157	4064.221872
158	4063.439745
159	4058.783883
160	4056.799666
161	4056.227129
162	4055.55737
163	4055.051173
164	4053.151786
165	4050.334999
166	4046.880513
167	4042.627669
168	4039.056766
169	4038.321272
170	4033.730378
171	4028.847432
172	4027.002027
173	4023.012752
174	4022.054034
175	4018.683836
176	4015.643806
177	4012.854625
178	4009.830069
179	4006.064048
180	4005.63782
181	4005.351335
182	4001.055619
183	3996.816951
184	3994.613649
185	3989.804668
186	3985.899254
187	3983.60003
188	3980.910061
189	3978.39035
190	3976.299926
191	3972.577915
192	3971.100899
193	3968.217262
194	3967.34328
195	3965.102903
196	3962.584417
197	3960.172134
198	3958.186317
199	3956.032294
200	3954.403751
201	3950.688401
202	3949.393784
203	3947.700413
204	3945.683042
205	3940.474913
206	3939.02633
207	3934.122967
208	3931.431358
209	3927.500458
210	3925.258375
211	3922.323967
212	3917.244334
213	3914.775611
214	3911.382843
215	3909.536103
216	3908.589063
217	3903.459484
218	3902.440724
219	3899.159721
220	3898.22818
221	3896.789617
222	3894.71567
223	3891.496703
224	3887.221716
225	3886.723627
226	3885.530855
227	3885.360693
228	3884.411543
229	3879.655733
230	3875.971792
231	3872.655074
232	3871.588987
233	3867.625643
234	3863.990493
235	3860.446369
236	3857.644612
237	3856.202807
238	3852.508389
239	3849.908984
240	3847.519367
241	3846.278587
242	3842.167197
243	3839.950512
244	3836.667479
245	3835.961152
246	3833.303252
247	3833.10844
248	3829.472664
249	3827.009325
250	3825.027734
251	3824.300911
252	3823.500447
253	3820.004881
254	3817.253932
255	3814.631546
256	3814.505323
257	3810.860507
258	3809.051021
259	3807.862282
260	3805.954395
261	3804.254352
262	3803.144739
263	3800.166388
264	3797.751639
265	3794.396838
266	3792.266555
267	3791.578387
268	3790.451232
269	3789.220075
270	3787.948499
271	3786.243405
272	3784.541674
273	3783.479144
274	3782.600793
275	3781.708912
276	3780.199933
277	3777.960836
278	3777.018191
279	3775.96054
280	3773.191483
281	3769.131488
282	3767.397653
283	3765.876088
284	3762.9262
285	3761.840128
286	3759.362848
287	3756.631836
288	3754.542341
289	3753.588163
290	3752.490856
291	3749.044681
292	3746.532871
293	3743.762064
294	3741.373075
295	3737.803839
296	3736.879739
297	3733.062312
298	3731.037063
299	3729.941848
300	3726.833989
301	3724.905729
302	3723.211016
303	3721.520445
304	3719.508294
305	3717.931554
306	3714.746116
307	3713.721281
308	3709.403482
309	3706.971623
310	3705.332905
311	3704.509724
312	3703.505733
313	3700.892044
314	3699.367602
315	3697.078109
316	3696.321193
317	3693.351982
318	3692.440584
319	3691.675753
320	3688.684545
321	3687.824587
322	3684.954735
323	3683.952194
324	3683.24174
325	3681.047893
326	3679.467456
327	3676.55597
328	3676.317456
329	3674.451921
330	3673.442651
331	3670.618312
332	3669.79619
333	3667.56702
334	3665.422304
335	3662.686321
336	3661.745567
337	3660.853524
338	3659.87908
339	3659.120782
340	3657.589302
341	3656.704015
342	3656.012971
343	3654.080958
344	3651.390707
345	3649.985459
346	3646.955402
347	3646.250267
348	3641.576485
349	3639.513767
350	3635.949527
351	3634.239867
352	3633.584366
353	3630.746349
354	3630.129755
355	3629.649707
356	3626.305007
357	3624.710736
358	3623.040263
359	3621.671294
360	3621.183999
361	3619.477619
362	3617.809537
363	3616.34791
364	3614.167091
365	3610.496119
366	3609.752997
367	3608.974589
368	3608.639869
369	3607.215254
370	3606.279176
371	3603.243207
372	3602.639908
373	3601.948576
374	3601.425447
375	3600.525749
376	3599.436841
377	3598.963428
378	3596.66544
379	3592.728416
380	3591.268249
381	3589.077168
382	3586.72768
383	3583.127895
384	3580.652444
385	3579.250189
386	3578.702445
387	3577.059753
388	3575.255602
389	3573.964561
390	3573.040506
391	3569.040629
392	3568.538493
393	3567.867133
394	3566.02054
395	3563.753282
396	3563.077232
397	3561.511238
398	3558.554683
399	3557.288134
400	3554.631198
401	3553.297856
402	3552.650786
403	3552.462877
404	3552.071031
405	3551.496755
406	3549.08951
407	3548.629069
408	3547.828936
409	3545.627437
410	3545.112761
411	3542.883837
412	3540.704035
413	3540.194459
414	3539.606921
415	3537.527878
416	3536.250003
417	3533.867914
418	3533.278565
419	3532.769338
420	3531.521375
421	3528.650595
422	3524.903947
423	3524.414222
424	3523.575583
425	3522.109897
426	3521.44074
427	3520.408262
428	3516.984371
429	3514.995779
430	3513.682862
431	3511.945804
432	3510.23977
433	3506.683571
434	3504.829205
435	3503.618046
436	3503.08512
437	3499.832202
438	3495.358721
439	3493.23214
440	3492.685866
441	3488.996539
442	3488.454486
443	3486.575246
444	3485.824652
445	3484.312718
446	3480.944135
447	3480.12371
448	3479.714133
449	3477.084994
450	3475.194139
451	3471.65509
452	3470.316979
453	3469.140957
454	3468.012079
455	3466.736989
456	3464.89961
457	3463.667911
458	3460.502786
459	3459.53921
460	3458.758318
461	3455.553932
462	3455.191576
463	3453.991739
464	3449.635844
465	3447.903913
466	3446.71282
467	3444.959738
468	3440.700639
469	3438.654609
470	3436.885262
471	3435.621921
472	3432.940311
473	3432.397068
474	3430.988819
475	3429.304323
476	3427.658198
477	3424.00887
478	3422.80511
479	3422.336356
480	3421.217624
481	3420.042258
482	3418.052077
483	3417.007157
484	3416.620546
485	3414.738211
486	3414.327558
487	3411.824356
488	3411.379277
489	3408.337087
490	3407.213569
491	3404.45367
492	3402.967965
493	3401.555638
494	3399.126485
495	3397.399853
496	3396.446548
497	3395.625574
498	3394.437539
499	3393.175114
500	3392.704401
501	3390.416298
502	3388.790408
503	3388.197557
504	3387.157837
505	3385.269335
506	3383.330161
507	3380.852318
508	3378.386297
509	3376.340327
510	3374.35291
511	3372.01918
512	3369.460062
513	3367.576669
514	3366.019781
515	3365.569987
516	3363.250831
517	3362.573743
518	3362.095883
519	3360.175253
520	3358.068125
521	3356.035693
522	3355.010438
523	3353.664422
524	3353.227028
525	3351.2499
526	3349.625462
527	3347.1945
528	3345.439868
529	3344.335919
530	3343.025417
531	3341.846799
532	3340.279416
533	3337.403276
534	3336.398559
535	3334.631284
536	3332.46762
537	3331.775179
538	3330.334781
539	3326.619355
540	3325.091905
541	3324.67743
542	3323.692036
543	3321.765803
544	3321.361816
545	3320.014183
546	3319.048899
547	3318.564712
548	3317.123201
549	3314.246051
550	3312.226436
551	3310.663563
552	3307.254942
553	3306.81283
554	3304.70087
555	3302.651085
556	3300.373732
557	3298.516226
558	3297.63407
559	3296.621082
560	3295.375741
561	3294.870846
562	3293.166117
563	3291.068741
564	3289.35134
565	3287.82336
566	3286.455128
567	3285.654584
568	3283.341581
569	3282.261996
570	3281.311979
571	3279.335089
572	3277.400651
573	3274.940118
574	3274.33298
575	3272.514123
576	3270.551452
577	3268.70283
578	3268.246107
579	3267.001866
580	3264.868803
581	3263.776919
582	3263.055781
583	3261.57721
584	3261.218749
585	3260.510614
586	3260.186981
587	3257.578418
588	3255.566727
589	3254.739444
590	3253.22143
591	3251.094047
592	3249.111135
593	3247.087871
594	3246.358193
595	3245.946679
596	3244.014329
597	3242.482695
598	3240.438375
599	3239.315012
600	3237.455133
601	3236.736517
602	3235.528494
603	3234.438356
604	3232.592782
605	3231.096603
606	3229.648982
607	3228.468135
608	3226.833581
609	3223.679911
610	3223.336653
611	3222.034743
612	3219.458185
613	3218.420418
614	3217.615238
615	3213.76471
616	3212.733206
617	3210.807753
618	3209.419441
619	3208.518641
620	3207.889587
621	3206.894018
622	3206.192418
623	3205.126467
624	3203.906662
625	3203.457292
626	3202.853335
627	3202.47445
628	3198.070567
629	3196.31954
630	3193.936467
631	3193.060612
632	3192.735245
633	3192.369559
634	3190.3948
635	3188.157962
636	3185.90832
637	3184.807871
638	3182.616262
639	3181.652763
640	3181.331574
641	3180.703182
642	3180.388699
643	3178.24512
644	3175.12275
645	3173.997036
646	3172.894595
647	3171.519157
648	3168.835735
649	3167.973627
650	3167.386224
651	3165.997053
652	3164.137204
653	3161.95072
654	3160.934058
655	3159.932387
656	3157.963654
657	3156.365549
658	3156.061449
659	3155.770752
660	3153.860145
661	3151.987314
662	3149.840183
663	3148.160278
664	3147.872224
665	3146.849051
666	3145.554004
667	3144.144156
668	3142.07408
669	3141.454275
670	3139.648438
671	3139.3274
672	3138.613764
673	3137.834137
674	3137.278664
675	3135.742769
676	3134.470627
677	3133.762262
678	3132.503084
679	3131.806222
680	3130.016735
681	3129.30319
682	3129.08933
683	3127.588494
684	3126.38341
685	3125.697108
686	3124.140461
687	3123.840655
688	3122.466262
689	3120.447407
690	3119.381281
691	3118.467271
692	3116.93938
693	3115.821212
694	3114.936315
695	3113.792565
696	3113.520712
697	3112.665478
698	3111.511297
699	3110.377403
700	3108.794444
701	3106.072092
702	3105.015027
703	3103.371635
704	3102.67136
705	3100.167192
706	3099.279547
707	3098.764828
708	3098.497785
709	3095.411239
710	3095.153961
711	3094.022238
712	3092.430668
713	3090.172008
714	3089.501907
715	3087.84134
716	3085.84216
717	3084.656492
718	3084.409583
719	3083.329747
720	3082.660661
721	3079.192623
722	3075.07396
723	3074.022156
724	3071.668793
725	3070.7259
726	3069.942028
727	3069.324185
728	3067.511418
729	3065.55183
730	3064.423226
731	3063.219112
732	3062.67984
733	3062.148855
734	3061.320687
735	3060.756911
736	3059.581424
737	3057.74924
